77 => 76 0.2512379
77 => 78 0.24851014
77 => 67 0.24944131
77 => 87 0.25081065
76 => 66 0.24840765
76 => 86 0.24881104
76 => 75 0.25215498
76 => 77 0.25062633
66 => 65 0.24810293
66 => 56 0.25026494
66 => 67 0.2510386
66 => 76 0.25059348
65 => 55 0.2501108
65 => 75 0.25079113
65 => 64 0.24947172
65 => 66 0.24962634
55 => 54 0.252044
55 => 65 0.24884114
55 => 45 0.24986441
55 => 56 0.24925044
54 => 64 0.24969377
54 => 44 0.24951452
54 => 55 0.2517054
54 => 53 0.24908629
64 => 74 0.24854988
64 => 54 0.24809906
64 => 63 0.25231668
64 => 65 0.25103438
74 => 73 0.2514176
74 => 75 0.24977298
74 => 64 0.25008577
74 => 84 0.24872364
73 => 72 0.24968015
73 => 83 0.25111583
73 => 74 0.24977781
73 => 63 0.24942622
72 => 71 0.25062367
72 => 82 0.2484786
72 => 62 0.25090715
72 => 73 0.24999055
71 => 61 0.19852275
71 => 72 0.25901088
71 => 81 0.34205455
71 => 70 0.20041181
70 71 => 72 0.29718414
70 71 => 81 0.7028159
70 => 79 0.2505017
70 => 80 0.25066045
70 => 60 0.2500822
70 => 71 0.24875565
61 => 51 0.19963366
61 => 71 0.34562948
61 => 60 0.19716941
61 => 62 0.25756747
60 61 => 71 0.7050048
60 61 => 62 0.29499516
60 => 69 0.25207877
60 => 61 0.24816445
60 => 50 0.24955596
60 => 70 0.2502008
51 => 52 0.25915658
51 => 41 0.19948132
51 => 50 0.19885178
51 => 61 0.34251028
50 51 => 61 0.7022277
50 51 => 52 0.2977723
50 => 59 0.2506914
50 => 40 0.2515908
50 => 51 0.24865656
50 => 60 0.24906127
52 => 53 0.24911426
52 => 42 0.25136375
52 => 62 0.2501359
52 => 51 0.24938607
53 => 52 0.24959268
53 => 43 0.24958298
53 => 54 0.2504267
53 => 63 0.25039762
42 => 43 0.24921945
42 => 52 0.25858608
42 => 32 0.2465968
42 => 41 0.24559769
12 22 32 42 => 52 0.7014157
12 22 32 42 => 43 0.2985843
12 22 32 => 31 0.24873577
12 22 32 => 33 0.24699748
12 22 32 => 42 0.24778761
12 22 32 => 22 0.25647914
12 22 => 23 0.25401464
12 22 => 32 0.24964921
12 22 => 21 0.25007796
12 22 => 12 0.24625818
12 => 2 0.25030312
12 => 11 0.24925424
12 => 13 0.25070727
12 => 22 0.24973539
43 => 44 0.25067025
43 => 33 0.24723737
43 => 42 0.24516971
43 => 53 0.25692266
13 23 33 43 => 53 0.69279796
13 23 33 43 => 44 0.30720204
13 23 33 => 43 0.24622802
13 23 33 => 34 0.2596049
13 23 33 => 23 0.24840567
13 23 33 => 32 0.2457614
13 23 => 24 0.24994026
13 23 => 33 0.25834328
13 23 => 22 0.24683394
13 23 => 13 0.24488252
13 => 14 0.25095937
13 => 12 0.25078136
13 => 23 0.25125608
13 => 3 0.2470032
44 => 45 0.2527248
44 => 54 0.257178
44 => 43 0.24545528
44 => 34 0.24464191
14 24 34 44 => 45 0.2998713
14 24 34 44 => 54 0.7001287
14 24 34 => 24 0.24150386
14 24 34 => 44 0.25710064
14 24 34 => 35 0.24856345
14 24 34 => 33 0.25283206
14 24 => 14 0.25010252
14 24 => 23 0.2509228
14 24 => 34 0.2530145
14 24 => 25 0.24596013
14 => 4 0.24516076
14 => 15 0.25310495
14 => 24 0.25054166
14 => 13 0.25119263
