368|204,209|,10
368|204,217|,14
83|220,363|,11
22|222,363|,12
22|222,342|,49
22|222,210|,30
211|204,23|,17
211|204,217|,18
61|,84|,11
61|,363|,14
61|,369|,14
61|,83|,10
61|,234|,17
214|205,341|,11
278|363,84|,12
278|363,363|,14
17|,84|,11
17|,205|,13
17|,202|,48
17|,16|,14
17|,203|,10
17|,339|,36
17|,363|,15
17|,204|,12
364|83,83|,12
363|203,23|,48
363|203,22|,69
363|203,218|,19
363|203,208|,74
363|203,202|,14
363|203,209|,54
363|203,368|,48
363|203,207|,61
363|203,214|363,14
363|203,365|,204
363|203,366|,111
363|203,216|363,12
363|203,84|,15
363|203,222|,18
363|203,211|,26
363|203,210|,254
363|203,203|,233
363|203,342|,124
363|203,212|,29
363|203,341|,10
363|203,19|,23
363|203,206|,14
363|203,340|,28
363|203,205|,351
363|203,220|363.203,60
363|203,217|,40
363|203,339|,151
363|203,21|,219
363|203,234|363,13
363|203,20|,158
363|203,204|,86
23|196,342|,13
23|196,22|,10
23|196,210|,12
220|83,366|,11
220|83,83|220,11
220|83,212|,10
220|83,210|,10
84|366,366|,10
84|366,21|,14
84|366,234|,25
84|366,210|,11
216|220,211|,15
216|220,217|,10
366|208,220|,12
366|208,210|,15
366|208,365|,12
200|,339|,42
200|,83|,16
200|,199|,55
200|,219|,367
200|,218|,219
200|,208|,61
200|,209|,45
200|,16|,95
200|,113|,10
200|,84|,13
200|,197|,13
200|,202|,38
200|,234|,14
200|,210|,10
200|,203|,25
200|,363|,26
200|,342|,31
200|,201|,23
200|,19|,39
200|,365|,13
200|,207|,158
200|,368|,13
200|,217|,12
200|,205|,16
200|,21|,46
200|,20|,76
200|,204|,13
234|203,210|,10
278|,23|,15
278|,369|,32
278|,22|,13
278|,220|,28
278|,83|,48
278|,26|,46
278|,208|,13
278|,211|,11
278|,209|,25
278|,223|,84
278|,366|,36
278|,84|,121
278|,222|,14
278|,202|,10
278|,234|,93
278|,210|,40
278|,203|,30
278|,233|,100
278|,363|,187
278|,342|,41
278|,224|,24
278|,212|,22
278|,206|,12
278|,340|,16
278|,205|,73
278|,364|,11
278|,358|,14
278|,204|,32
278|,266|,10
278|,339|,24
278|,21|,64
278|,365|278,58
278|,225|,10
278|,20|,49
278|,217|,17
83|210,84|83,13
83|210,210|,14
83|210,363|,16
83|210,342|,11
83|210,21|,21
83|210,234|83,21
83|210,20|,16
