220|210,368|220,19
220|210,23|,43
220|210,211|,15
220|210,210|,51
220|210,363|,12
220|210,22|220,26
220|210,342|220.210,96
220|210,212|,32
220|210,365|,19
220|210,340|,26
220|210,209|,31
220|210,217|,28
220|210,366|,48
220|210,21|,14
220|210,20|,17
366|83,342|,21
366|83,83|,18
366|83,217|,11
211|204,217|,11
61|,369|,14
278|363,363|278,14
25|190,191|,25
17|,205|,23
17|,202|,46
17|,204|,25
17|,203|,10
17|,339|,36
17|,363|,14
364|83,83|,17
23|196,342|,16
23|196,217|,13
220|83,342|,15
220|83,83|,14
164|340,340|,11
216|220,222|,11
216|220,211|,18
204|211,363|,11
200|,83|,21
200|,199|,68
200|,219|,215
200|,218|,232
200|,208|200,92
200|,209|,61
200|,16|,114
200|,20|200,58
200|,22|,10
200|,84|,18
200|,197|,28
200|,202|,34
200|,234|,11
200|,210|,15
200|,203|,19
200|,363|,27
200|,342|,32
200|,19|,19
200|,205|,15
200|,207|,180
200|,368|,14
200|,217|,26
200|,339|,33
200|,201|200,49
200|,21|,21
342|222,222|342.222,49
342|222,211|,18
342|222,22|,35
342|222,203|,15
342|222,210|,49
342|222,23|,26
342|222,363|,19
342|222,216|,12
342|222,205|,11
342|222,21|,81
342|222,365|,17
342|222,208|,22
342|222,209|,85
342|222,217|,43
342|222,368|342,30
342|222,366|,12
342|222,212|,13
342|222,20|,40
342|222,220|,17
278|,21|278,63
278|,363|278,174
278|,22|,24
278|,369|,51
278|,218|,10
278|,26|,55
278|,208|,22
278|,233|278,103
278|,191|,13
278|,202|,13
278|,210|,42
278|,266|,25
278|,342|,62
278|,212|,50
278|,364|,22
278|,206|,21
278|,340|,45
278|,358|,12
278|,204|,36
278|,339|,37
278|,365|278,102
278|,143|,14
278|,23|,30
278|,83|,39
278|,25|,21
278|,368|,31
278|,209|,37
278|,205|278,72
278|,220|,37
278|,84|,52
278|,222|,11
278|,211|,10
278|,234|,56
278|,203|,27
278|,224|,45
278|,223|278,140
278|,207|,15
278|,217|,35
278|,89|,14
278|,366|,45
278|,225|,29
278|,20|,60
196|213,340|,10
196|213,222|,12
366|234,342|,15
217|84,342|,11
202|207,339|,26
202|207,203|,13
202|207,218|,12
234|342,84|234,11
234|342,342|234,10
365|278,342|,11
191|212,340|,15
191|212,25|,12
23|,299|,12
23|,199|,22
23|,204|,133
23|,155|,10
23|,212|,833
23|,369|,25
23|,218|,71
23|,208|,183
23|,214|23,119
23|,181|,12
23|,19|,35
23|,207|,135
23|,365|,259
23|,191|,31
23|,158|,29
23|,221|,106
23|,222|,315
23|,197|,11
23|,156|,25
23|,223|,33
23|,162|,17
23|,233|,10
23|,200|,14
23|,342|,1428
23|,278|,24
23|,364|,15
23|,206|,11
23|,340|,691
23|,367|,131
23|,164|,19
23|,211|23,908
23|,21|,423
23|,216|,322
23|,143|,13
23|,159|,14
23|,371|,14
23|,25|,31
23|,219|,41
23|,368|,852
23|,163|,19
23|,209|,575
23|,16|,46
23|,180|,19
23|,149|,17
23|,339|23,146
23|,190|,22
23|,220|,753
23|,182|,17
23|,366|,542
23|,83|,104
23|,196|,120
23|,84|,84
23|,152|,12
23|,210|,543
23|,234|,64
23|,157|,28
23|,203|,183
23|,224|,11
23|,160|,12
23|,213|,141
23|,201|,10
23|,341|,165
23|,22|,620
23|,215|,257
23|,153|,30
23|,192|,36
23|,217|,1497
23|,363|,324
23|,205|,209
23|,202|,54
23|,20|,335
23|,178|,17
366|215,340|,11
366|215,342|,10
366|215,210|,15
156|83,83|,23
22|220,23|,27
22|220,211|,10
22|220,210|,25
22|220,222|,11
22|220,363|,25
22|220,339|,14
22|220,212|,20
22|220,21|,30
22|220,368|,36
22|220,365|,12
22|220,340|,12
22|220,208|,13
22|220,342|22.220,78
22|220,209|,48
22|220,367|,10
22|220,205|,16
22|220,220|,23
22|220,366|,27
22|220,20|,14
22|220,217|,47
84|220,363|,11
218|83,207|,23
339|,212|339,122
339|,278|,28
339|,369|,28
339|,218|,372
339|,341|,27
339|,208|,430
339|,340|339,117
339|,17|,29
339|,199|,35
339|,365|,308
339|,220|339,149
339|,221|,33
339|,115|,15
339|,197|,28
339|,202|,505
339|,223|,18
339|,210|,299
339|,233|,12
339|,363|,773
339|,342|,732
339|,364|,20
339|,206|,56
339|,214|,19
339|,358|,17
339|,204|,940
339|,216|,37
339|,21|,415
339|,367|,18
339|,83|,129
339|,23|339,117
339|,219|,93
339|,22|339,181
339|,368|,107
339|,217|,193
339|,209|,353
339|,16|,398
339|,211|339,93
339|,113|,13
339|,366|,218
339|,196|,18
339|,84|,115
339|,222|,65
339|,234|,80
339|,203|,1002
339|,360|,11
339|,213|,17
339|,201|,38
339|,226|,11
339|,19|,221
339|,215|,23
339|,207|,565
339|,143|,10
339|,200|,30
339|,205|,894
339|,20|,531
83|21,20|83,10
83|21,21|83,13
83|21,363|83,21
83|21,342|83,10
83|21,234|83,18
83|21,209|83,10
83|21,84|83,17
209|,339|,335
209|,266|,12
209|,299|,38
209|,22|,737
209|,367|209,74
209|,23|,597
209|,155|,19
209|,371|,18
209|,83|,176
209|,218|,322
209|,226|,10
209|,26|,15
209|,208|,1233
209|,181|,12
209|,199|209,93
209|,207|,698
209|,206|,28
209|,191|,49
209|,158|,17
209|,221|,241
209|,340|,396
209|,197|,56
209|,156|,20
209|,223|,49
209|,162|,15
209|,233|,35
209|,363|,799
209|,342|,3792
209|,212|,376
209|,364|,34
209|,365|,588
209|,115|,10
209|,214|,139
209|,216|,257
209|,234|209,89
209|,21|,3134
209|,225|,22
209|,204|,206
209|,198|,15
209|,369|,55
209|,159|,16
209|,25|,26
209|,219|,137
209|,368|,895
209|,14|,23
209|,202|209,132
209|,151|,10
209|,211|,521
209|,16|,81
209|,180|,21
209|,190|,23
209|,113|,17
209|,220|,441
209|,182|,11
209|,210|,1528
209|,196|,86
209|,222|,476
209|,163|,11
209|,157|,20
209|,360|,12
209|,224|,28
209|,160|,13
209|,213|,59
209|,217|,2320
209|,341|,176
209|,201|,65
209|,203|,306
209|,19|,146
209|,215|,185
209|,205|,389
209|,153|,20
209|,192|,28
209|,143|,14
209|,200|,48
209|,366|,590
209|,84|209,156
209|,164|,14
209|,278|,52
209|,20|,2652
209|,178|,13
190|,23|,17
190|,220|,30
190|,156|190,74
190|,212|,64
190|,83|,27
190|,339|,10
190|,211|,29
190|,191|190,277
190|,25|190,139
190|,149|,12
190|,365|,14
190|,366|,11
190|,84|,25
190|,222|,13
190|,234|,12
190|,157|,31
190|,210|,12
190|,143|,39
190|,181|,16
190|,213|,40
190|,342|,15
190|,155|,40
190|,215|,26
190|,340|,202
190|,45|,13
190|,153|,13
190|,192|,132
190|,217|,27
190|,205|,12
190|,178|,24
222|204,342|222,10
241|,84|,12
241|,83|,64
241|,209|,10
241|,365|,10
363|205.203,365|,13
217|368.220,212|,10
222|205,341|,11
222|205,217|,10
157|,159|,11
157|,211|,19
157|,23|,16
157|,212|,25
157|,83|,39
157|,191|157,115
157|,156|,27
157|,180|,13
157|,149|,15
157|,190|,25
157|,220|,17
157|,196|,13
157|,84|,14
157|,222|,13
157|,163|,29
157|,363|,11
157|,25|,27
157|,155|,48
157|,341|,10
157|,215|,30
157|,340|,87
157|,153|,15
157|,192|,73
157|,217|,13
157|,213|,18
157|,178|,49
370|,363|,24
370|,369|,11
370|,83|,19
370|,365|,11
355|,83|,12
226|,84|,27
226|,23|,10
226|,83|,32
226|,234|,26
226|,224|,43
226|,363|,30
226|,225|,20
226|,369|,36
226|,212|,17
226|,278|,12
226|,340|,24
226|,205|,17
226|,281|,12
226|,366|,12
226|,223|,13
19|,23|,28
19|,83|,32
19|,22|,39
19|,363|19,103
19|,219|,42
19|,218|,201
19|,208|,405
19|,202|,30
19|,209|,154
19|,16|,45
19|,210|19,103
19|,199|,10
19|,220|,22
19|,366|,28
19|,205|19,114
19|,84|,20
19|,222|,16
19|,211|,19
19|,234|,12
19|,203|,257
19|,200|,14
19|,212|,16
19|,365|,58
19|,340|,14
19|,342|19,162
19|,207|,519
19|,368|,31
19|,217|,62
19|,339|,171
19|,21|,260
19|,20|,364
19|,204|,102
220|341,366|,11
220|341,342|,11
342|196,21|,18
342|196,209|,23
342|196,217|,12
339|234,342|,11
364|,369|,13
364|,22|,14
364|,25|,40
364|,278|,18
364|,83|,41
364|,339|,14
364|,209|,18
364|,234|,21
364|,220|,17
364|,191|,32
364|,366|,25
364|,84|,23
364|,222|,10
364|,143|,47
364|,223|,15
364|,210|,19
364|,203|,13
364|,233|,35
364|,363|,81
364|,342|,28
364|,212|,19
364|,206|,11
364|,365|,19
364|,340|,27
364|,217|,17
364|,205|,43
364|,21|,28
364|,20|,15
364|,204|,18
223|20,363|223,12
223|20,278|223,12
234|209,84|234,10
205|203,22|,19
205|203,220|,24
205|203,368|,11
205|203,208|,35
205|203,202|,11
205|203,209|,27
205|203,340|205,14
205|203,365|,52
205|203,366|,28
205|203,363|205.203,105
205|203,211|205,10
205|203,210|,43
205|203,203|,77
205|203,342|,55
205|203,206|,10
205|203,207|,29
205|203,217|,31
205|203,339|,61
205|203,21|,58
205|203,20|,64
205|203,204|,60
84|209,234|84,15
23|367,342|,10
278|234,234|,13
223|84,84|,25
223|84,234|,10
299|,23|,13
299|,211|,29
299|,210|,14
299|,222|,37
299|,363|,12
299|,342|,28
299|,83|,12
299|,341|,18
299|,368|,19
299|,340|,11
299|,217|299,67
299|,214|,65
299|,209|,22
299|,216|,24
299|,20|,15
299|,21|,23
299|,221|,21
199|,339|,35
199|,219|,231
199|,22|,12
199|,23|,12
199|,83|,16
199|,218|,223
199|,208|,86
199|,211|,15
199|,209|,104
199|,207|199,151
199|,220|,11
199|,113|,19
199|,84|,13
199|,197|,38
199|,202|,27
199|,234|,12
199|,203|,23
199|,210|,10
199|,200|,178
199|,342|,63
199|,201|,73
199|,19|,20
199|,365|,12
199|,368|,19
199|,204|,13
199|,16|199,94
199|,363|,37
199|,205|,22
199|,21|,38
199|,20|,75
199|,217|,44
20|200,342|,10
16|205,202|,19
16|205,203|,12
340|84,342|,10
341|212,222|,17
341|212,211|,11
25|84,84|,10
203|21,220|203,12
203|21,21|,60
203|21,210|,26
203|21,20|203.21,63
203|21,363|,55
203|21,342|,34
203|21,19|,13
203|21,218|,13
203|21,365|,16
203|21,208|,21
203|21,207|,27
203|21,209|,15
203|21,217|,11
203|21,205|203,41
203|21,339|,61
203|21,366|,16
203|21,204|,34
342|22.220,368|342,11
221|215,222|,14
221|215,215|,10
340|234,342|,12
148|,340|,10
204|222,363|,11
204|222,203|,10
212|83,342|,17
366|367,342|,23
366|367,210|,12
23|339,342|,15
23|339,217|,15
315|,83|,14
266|,84|,39
266|,26|,22
266|,234|,15
266|,233|,13
266|,363|,32
266|,83|,11
266|,278|,32
266|,365|,15
266|,340|,10
266|,358|,10
266|,223|,72
266|,21|,10
204|84,205|,17
204|84,339|,13
204|84,342|,24
204|84,21|,12
204|84,84|204,11
206|,339|,41
206|,22|,11
206|,212|,16
206|,83|,15
206|,218|,16
206|,208|,25
206|,209|,18
206|,368|,15
206|,363|206,110
206|,220|,18
206|,366|,23
206|,84|,14
206|,203|,48
206|,210|,24
206|,233|,17
206|,342|,45
206|,278|,20
206|,365|,26
206|,340|,15
206|,207|,12
206|,204|,85
206|,205|,156
206|,21|,33
206|,20|,36
206|,217|,11
115|,202|,24
115|,16|,27
115|,203|,11
115|,339|,16
115|,363|,13
115|,204|,18
27|83,83|,11
234|20,363|234,10
164|,159|,34
164|,191|,23
164|,220|,14
164|,23|,16
164|,212|,27
164|,83|,22
164|,27|,10
164|,211|,31
164|,180|,46
164|,149|,13
164|,190|,14
164|,152|,19
164|,182|,10
164|,158|,17
164|,196|,36
164|,84|,13
164|,222|,27
164|,163|,47
164|,234|,10
164|,157|,18
164|,162|,51
164|,181|,121
164|,363|,12
164|,342|,12
164|,25|,17
164|,160|,24
164|,341|,17
164|,215|,59
164|,340|,63
164|,153|,55
164|,192|,11
164|,217|,22
164|,216|,13
191|84,84|,13
37|,83|,10
215|180,217|,12
342|16,209|,13
25|,22|,17
25|,212|,87
25|,83|,55
25|,181|,10
25|,191|,469
25|,156|,72
25|,223|,10
25|,210|,10
25|,363|,24
25|,342|,34
25|,278|,13
25|,364|,15
25|,365|,12
25|,340|,236
25|,204|,12
25|,339|,13
25|,21|,16
25|,217|,43
25|,23|,43
25|,369|,13
25|,216|,15
25|,368|,19
25|,164|,15
25|,163|,19
25|,209|,17
25|,180|,16
25|,149|,15
25|,190|,113
25|,220|,32
25|,366|,25
25|,196|,14
25|,84|,39
25|,222|,33
25|,211|,40
25|,234|,18
25|,157|,33
25|,213|,78
25|,155|,27
25|,341|,19
25|,215|,46
25|,45|,22
25|,153|,29
25|,192|,112
25|,143|,94
25|,205|,16
25|,20|,10
25|,178|,14
219|,339|,101
219|,21|219,91
219|,22|,25
219|,23|,20
219|,212|,16
219|,83|,34
219|,218|,723
219|,208|,279
219|,211|,24
219|,209|,162
219|,16|,186
219|,199|,98
219|,220|,20
219|,113|,11
219|,84|,42
219|,197|,43
219|,234|,23
219|,203|,69
219|,210|,30
219|,200|,133
219|,201|,61
219|,19|,71
219|,365|,32
219|,340|,17
219|,207|,530
219|,368|,26
219|,204|,43
219|,363|,64
219|,205|,38
219|,342|219,107
219|,202|219,63
219|,20|,200
219|,217|,64
220|207,342|,12
210|84,342|,16
210|84,21|,16
210|84,20|,11
210|84,84|210,24
201|16,207|,10
223|26,278|223,10
191|190,340|,14
191|190,156|,10
191|190,192|,11
191|190,25|,29
191|190,190|,23
340|205,23|,16
340|205,220|,15
340|205,212|,24
251|,84|,11
251|,83|,28
251|,234|,11
213|366,212|,14
196|,22|,51
196|,216|196,100
196|,371|,21
196|,83|,20
196|,218|,17
196|,208|,16
196|,181|,17
196|,368|196,59
196|,210|196,70
196|,191|,41
196|,158|,13
196|,221|,55
196|,23|196,139
196|,156|,20
196|,363|,41
196|,220|196,92
196|,212|,238
196|,153|,23
196|,365|,42
196|,340|,484
196|,214|,33
196|,204|,14
196|,217|,168
196|,25|,28
196|,219|,10
196|,209|196,89
196|,339|,15
196|,211|,126
196|,190|,26
196|,366|,73
196|,84|,11
196|,222|,274
196|,163|,13
196|,234|,10
196|,157|,13
196|,203|,16
196|,21|196,68
196|,213|,60
196|,155|,10
196|,341|,117
196|,215|,273
196|,342|196,157
196|,207|,15
196|,192|,28
196|,143|,13
196|,205|,28
196|,202|,12
196|,20|,42
196|,178|,12
163|,159|,10
163|,23|,20
163|,212|,18
163|,83|,24
163|,164|,19
163|,181|,39
163|,209|,10
163|,180|,68
163|,220|,13
163|,191|,21
163|,158|,13
163|,196|,33
163|,84|,12
163|,222|,15
163|,211|,12
163|,234|,10
163|,157|,20
163|,25|,10
163|,160|,13
163|,341|,12
163|,215|,64
163|,340|,49
163|,153|,34
163|,217|,21
163|,366|,11
163|,216|,18
163|,178|,21
373|,83|,12
216|214,342|,15
216|214,211|,14
216|214,217|,18
155|,23|,11
155|,156|,11
155|,157|,18
155|,25|,31
155|,213|,23
155|,83|,12
155|,212|,34
155|,215|,17
155|,340|,74
155|,211|,20
155|,191|155,118
155|,190|,22
155|,220|,12
155|,192|,90
20|221,342|,12
20|221,21|,17
363|233,342|,14
363|233,209|,12
215|22,216|,10
215|22,23|,11
215|22,217|,11
143|,191|143,138
143|,23|,13
143|,83|,24
143|,22|,10
143|,25|,217
143|,212|,40
143|,369|,15
143|,205|,25
143|,211|,18
143|,190|,32
143|,84|,12
143|,156|,11
143|,363|,34
143|,342|,11
143|,278|,13
143|,215|,16
143|,340|,77
143|,364|,23
143|,192|,36
143|,217|,14
143|,213|,24
143|,339|,13
143|,21|,10
22|216,216|,11
22|216,342|,21
22|216,209|,10
22|216,217|,11
366|,299|,11
366|,22|,669
366|,371|,27
366|,369|,24
366|,218|,67
366|,26|,13
366|,208|,190
366|,199|,12
366|,365|,674
366|,191|,13
366|,158|,14
366|,221|,50
366|,215|366,91
366|,197|,11
366|,202|,70
366|,223|,30
366|,162|,10
366|,233|,17
366|,200|,11
366|,342|,1620
366|,212|,590
366|,364|,24
366|,206|,21
366|,340|,438
366|,214|,49
366|,358|,12
366|,204|,267
366|,164|,10
366|,363|,724
366|,21|,563
366|,216|,79
366|,367|,97
366|,23|,447
366|,83|,164
366|,25|,22
366|,219|,22
366|,368|,374
366|,339|,239
366|,192|,18
366|,209|,806
366|,16|,42
366|,180|,13
366|,190|,10
366|,220|,894
366|,213|366,56
366|,196|,43
366|,84|,100
366|,222|,215
366|,211|,248
366|,234|,79
366|,210|,854
366|,203|,226
366|,143|,15
366|,224|,14
366|,201|,14
366|,341|,52
366|,19|,48
366|,207|,132
366|,217|,449
366|,266|,18
366|,205|,390
366|,278|,46
366|,20|,413
201|200,16|201,13
23|204,342|,11
205|84,342|,20
205|84,204|,12
205|84,203|,13
205|84,84|205,10
21|83,209|,36
21|83,208|,11
21|83,83|21,53
21|83,22|,10
21|83,210|,15
21|83,205|,12
21|83,363|,16
21|83,342|,26
21|83,20|,27
21|83,365|,12
223|234,84|,14
339|211,363|,10
339|211,203|,14
20|203.21,203|,10
181|,159|,58
181|,220|,12
181|,23|,29
181|,160|,29
181|,83|,23
181|,368|,21
181|,164|,43
181|,163|,28
181|,209|,10
181|,180|,76
181|,211|,24
181|,366|,11
181|,190|,14
181|,191|,30
181|,158|,47
181|,217|,26
181|,84|,24
181|,222|,31
181|,156|,13
181|,149|,10
181|,157|,18
181|,162|,21
181|,215|181,66
181|,342|,19
181|,25|,26
181|,212|,21
181|,341|,40
181|,152|,11
181|,340|,47
181|,153|,32
181|,375|,12
181|,143|,10
181|,205|,10
181|,196|,22
181|,216|,24
181|,192|,14
181|,178|,28
207|197,208|,22
164|83,83|,13
222|208,209|,10
222|208,221|,16
178|83,83|,10
204|218,205|,21
204|218,339|,12
222|84,221|,11
210|202,209|,12
365|216,363|,11
210|,339|,324
210|,220|210,599
210|,299|,21
210|,22|,882
210|,369|,41
210|,212|,348
210|,83|,178
210|,218|,130
210|,26|,11
210|,208|,395
210|,199|,13
210|,202|210,87
210|,365|,779
210|,191|,14
210|,158|,16
210|,221|,104
210|,197|,15
210|,223|,36
210|,162|,13
210|,233|,15
210|,200|,14
210|,342|,2325
210|,160|,10
210|,207|,274
210|,206|,22
210|,340|,260
210|,214|,49
210|,204|,239
210|,216|,164
210|,21|,1757
210|,367|,74
210|,23|,544
210|,371|,25
210|,25|,13
210|,219|,43
210|,368|,526
210|,84|210,116
210|,205|,473
210|,192|,12
210|,209|,1726
210|,16|,57
210|,180|,12
210|,190|,11
210|,196|,62
210|,222|,341
210|,211|,353
210|,234|,64
210|,157|,10
210|,203|,378
210|,224|,22
210|,143|,14
210|,213|,46
210|,201|,23
210|,341|,121
210|,19|,97
210|,215|,105
210|,364|,17
210|,217|,704
210|,363|,904
210|,366|,981
210|,164|,11
210|,278|,27
210|,20|,1114
233|,339|,26
233|,369|,22
233|,22|,15
233|,23|,14
233|,212|,15
233|,83|,34
233|,26|,20
233|,208|,20
233|,365|,41
233|,209|,21
233|,234|,24
233|,220|,17
233|,191|,11
233|,366|,22
233|,84|,26
233|,223|,36
233|,203|,16
233|,210|,32
233|,224|,15
233|,342|,30
233|,25|,16
233|,278|,74
233|,206|,16
233|,340|,19
233|,363|233,122
233|,364|,33
233|,204|,27
233|,370|,11
233|,205|,50
233|,21|,39
233|,20|,33
233|,217|,24
23|203,342|,17
23|203,220|,14
23|203,217|,10
89|,84|,16
89|,363|,17
89|,223|,29
89|,83|,17
89|,278|,14
341|363,222|,14
20|16,342|,11
20|16,21|,15
260|,83|,10
215|366,340|,11
215|366,211|,10
204|,199|,17
204|,278|,20
204|,369|,16
204|,211|204,74
204|,218|,125
204|,26|,12
204|,208|,295
204|,222|204,82
204|,220|204,146
204|,17|,32
204|,22|,122
204|,365|,291
204|,221|,18
204|,234|204,69
204|,197|,17
204|,202|,206
204|,223|,25
204|,210|,262
204|,233|,20
204|,200|,20
204|,342|,647
204|,217|204,183
204|,364|,19
204|,206|,49
204|,214|,14
204|,358|,11
