196|216,340|,22
196|216,222|,10
218|217,217|218,16
218|217,208|,11
218|217,207|,20
218|217,209|,13
340|207,212|,15
220|210,23|,71
220|210,22|,68
220|210,210|220.210,91
220|210,368|,41
220|210,339|,12
220|210,209|,34
220|210,366|,109
220|210,217|,22
220|210,222|,24
220|210,211|,40
220|210,363|,46
220|210,342|,117
220|210,212|,45
220|210,365|,57
220|210,340|,42
220|210,367|,16
220|210,205|,17
220|210,21|,49
220|210,234|220,13
220|210,20|,16
220|210,204|,12
61|,363|,17
61|,369|,18
17|,205|,18
17|,202|,59
17|,204|,25
17|,339|,49
17|,363|,10
17|,16|,22
212|221,23|,12
364|83,83|,13
342|202,209|,20
342|202,210|,13
23|196,342|,13
23|196,211|,13
23|196,217|,12
220|83,366|,10
220|83,210|,10
84|366,205|,11
84|366,363|,14
84|366,83|84,10
84|366,234|,19
216|220,23|,10
216|220,211|,14
200|,219|,372
200|,199|,44
200|,83|,13
200|,218|,264
200|,208|,72
200|,209|,41
200|,16|,102
200|,84|,19
200|,197|,30
200|,202|,31
200|,234|,10
200|,210|,12
200|,203|,23
200|,363|,30
200|,342|,36
200|,201|,43
200|,19|,23
200|,205|,19
200|,207|,160
200|,368|,16
200|,217|,19
200|,339|,42
200|,21|,41
200|,20|,65
200|,204|,12
234|203,205|,11
234|203,84|,16
278|,23|,21
278|,369|,45
278|,22|,36
278|,220|,27
278|,25|,15
278|,234|,104
278|,83|,35
278|,218|,11
278|,26|,20
278|,208|,19
278|,211|,18
278|,209|,36
278|,368|,20
278|,266|,17
278|,366|,44
278|,217|,22
278|,84|,114
278|,222|,13
278|,202|,14
278|,223|,130
278|,203|,22
278|,210|,60
278|,89|,13
278|,342|,49
278|,224|,22
278|,212|,26
278|,341|,11
278|,206|,22
278|,340|,26
278|,205|,95
278|,364|,15
278|,204|,36
278|,363|,289
278|,339|,27
278|,233|278,133
278|,21|,56
278|,365|278,93
278|,225|,10
278|,20|,41
278|,143|,12
83|210,21|83,15
83|210,363|,17
83|210,342|,11
83|210,234|83,18
83|210,84|83,17
83|210,365|,10
233|84,84|,10
83|222,363|,13
20|16,21|,17
20|16,209|,12
365|278,21|,15
341|215,222|,20
341|215,211|,13
341|215,217|,16
23|84,342|,13
191|212,340|,12
191|212,212|,10
23|,84|23,94
23|,299|,19
23|,199|,18
23|,364|,22
23|,371|,12
23|,369|,31
23|,26|,14
23|,208|,218
23|,181|,23
23|,19|,39
23|,20|,345
23|,152|,12
23|,191|,38
23|,158|,40
23|,221|,176
23|,197|,14
23|,202|,55
23|,223|,30
23|,210|,1015
23|,200|,12
23|,342|,1794
23|,25|,34
23|,212|,1057
23|,207|,141
23|,365|,412
23|,340|,800
23|,156|,23
23|,214|,199
23|,204|,150
23|,164|,32
23|,218|23,54
23|,21|,707
23|,216|,390
23|,217|,1747
23|,83|,120
23|,206|,28
23|,219|,32
23|,368|,1402
23|,339|,143
23|,163|,14
23|,209|,639
23|,16|,41
23|,180|,24
23|,375|,17
23|,190|,29
23|,220|,1089
23|,366|,735
23|,234|23,98
23|,196|,143
23|,159|,22
23|,222|,288
23|,211|,1419
23|,157|,19
23|,203|,180
23|,224|,17
23|,160|,17
23|,213|,153
23|,155|,13
23|,341|,237
23|,22|,1046
23|,215|,201
23|,367|,121
23|,153|,33
23|,162|,18
23|,143|,24
23|,363|,500
23|,205|,251
23|,278|,32
23|,192|,31
23|,178|,27
366|215,363|,10
366|215,342|,11
84|220,363|,11
84|220,234|,17
23|221,211|,12
23|221,22|,10
23|221,21|,10
257|,83|,13
209|,203|,301
209|,299|,52
209|,199|,102
209|,23|,586
209|,155|,12
209|,212|,320
209|,218|,294
209|,26|,14
209|,208|,1600
209|,181|,13
209|,19|,151
209|,207|,746
209|,152|,11
209|,191|,23
209|,158|,24
209|,221|,280
209|,197|,63
209|,156|,11
209|,223|,33
209|,210|,1895
209|,233|,29
209|,363|,863
209|,342|,4049
209|,278|,38
209|,153|,12
209|,365|,479
209|,340|,267
209|,140|,11
209|,358|,13
209|,83|209,256
209|,367|,43
209|,375|,15
209|,21|,4164
209|,216|,241
209|,225|,15
209|,204|,172
209|,198|,15
209|,206|,37
209|,369|,38
209|,159|,23
209|,25|,26
209|,219|,139
209|,368|,1285
209|,14|,17
209|,339|,264
209|,192|,17
209|,196|209,83
209|,16|,80
209|,180|,20
209|,190|,17
209|,113|,16
209|,220|,330
209|,234|209,175
209|,241|,10
209|,222|,337
209|,211|,526
209|,162|,13
209|,157|,16
209|,224|,17
209|,160|,23
209|,213|,57
209|,217|,2395
209|,201|,55
209|,341|,183
209|,22|,855
209|,215|,127
209|,205|,442
209|,364|,14
209|,214|,263
209|,143|,18
209|,200|,49
209|,366|,492
209|,84|209,188
209|,164|,27
209|,202|,98
209|,20|,2909
209|,178|,14
203|214,363|,10
222|204,214|,11
222|204,341|,12
222|204,221|,17
212|208,340|,10
212|208,220|,14
340|203,23|,10
340|203,212|,11
241|,340|,10
241|,21|,12
241|,234|,17
241|,363|,17
241|,342|,17
241|,83|,102
222|205,340|,11
222|205,214|,12
222|205,341|,28
222|205,221|,15
157|,84|,18
157|,23|,18
157|,211|,23
157|,220|,13
157|,25|,22
157|,363|,14
157|,83|,27
157|,155|,22
157|,341|,18
157|,215|,13
157|,340|,66
157|,156|,16
157|,163|,12
157|,217|,20
157|,180|,13
157|,213|,17
157|,190|,16
157|,212|,18
157|,191|,46
157|,192|,31
157|,178|,37
84|218,363|,12
370|,84|,11
370|,363|,31
370|,83|,15
370|,205|,21
370|,233|,12
84|365,205|,13
84|365,363|,14
84|365,83|84,16
84|365,234|,28
226|,340|,10
226|,84|,34
226|,83|,16
226|,234|,28
226|,224|,37
226|,205|,15
226|,363|,30
226|,369|,22
226|,278|,11
19|,23|,38
19|,83|,25
19|,199|,10
19|,219|,75
19|,218|,247
19|,205|,228
19|,202|,32
19|,209|,123
19|,16|,54
19|,207|19,874
19|,22|,46
19|,220|,19
19|,366|,37
19|,84|,14
19|,222|,17
19|,197|,10
19|,211|,30
19|,234|,16
19|,210|,160
19|,203|,519
19|,208|,585
19|,200|,15
19|,342|,169
19|,201|,12
19|,214|,10
19|,340|,14
19|,368|,27
19|,217|,44
19|,365|19,61
19|,363|,207
19|,339|,299
19|,21|,378
19|,20|,511
19|,204|,118
141|,83|,12
342|196,21|,11
342|196,209|,15
364|,22|,12
364|,25|,24
364|,278|,19
364|,83|,46
364|,208|,11
364|,223|,12
364|,220|,18
364|,191|,19
364|,366|,28
364|,84|,37
364|,143|,35
364|,211|,14
364|,234|,24
364|,210|,23
364|,233|,31
364|,342|,19
364|,212|,18
364|,365|,34
364|,340|,18
364|,205|,45
364|,204|,18
364|,339|,12
364|,21|,26
364|,363|364,130
364|,20|,16
364|,217|,11
234|209,84|,23
234|209,363|,15
234|209,205|,10
84|20,363|,23
84|20,83|84,17
84|20,234|,27
84|20,365|,11
161|,159|,16
161|,222|,10
161|,160|,18
161|,341|,11
161|,158|,11
84|209,363|,18
84|209,83|84,12
84|209,234|,27
23|367,342|,10
23|367,217|,15
224|234,84|,12
84|23,363|,11
84|23,234|,13
299|,217|299,63
299|,23|,15
299|,211|,62
299|,222|,10
299|,342|,20
299|,83|,15
299|,341|,41
299|,368|,20
299|,216|,47
299|,214|,216
299|,209|,37
299|,366|,10
299|,20|,10
299|,21|,23
299|,221|,37
199|,83|,15
199|,219|,259
199|,218|,185
199|,208|,92
199|,202|,22
199|,113|,11
199|,84|,21
199|,197|,22
199|,211|,16
199|,203|,19
199|,363|,26
199|,342|,46
199|,201|,46
199|,19|,20
199|,365|,12
199|,340|,11
199|,205|,15
199|,207|,118
199|,368|,16
199|,217|,31
199|,16|199,76
199|,200|,188
199|,339|,31
199|,21|,47
199|,20|,77
199|,209|199,74
340|84,23|,14
340|84,211|,12
25|84,84|,11
340|214,23|,13
340|214,212|,24
221|215,222|,11
340|234,23|,11
340|234,212|,14
205|233,363|,15
205|233,21|,10
204|222,205|,11
235|,363|,10
235|,83|,10
342|16,209|,11
365|221,363|,18
266|,84|,46
266|,363|,43
266|,342|,11
266|,83|,11
266|,278|,25
266|,365|,18
266|,26|,18
266|,205|,15
266|,234|,32
266|,21|,11
266|,223|266,60
25|,23|,35
25|,83|,41
25|,22|,17
25|,211|,33
25|,220|,30
25|,212|,76
25|,369|,11
25|,153|,17
25|,368|,22
25|,20|,12
25|,217|,34
25|,163|,10
25|,180|,12
25|,149|,11
