340|207,212|,15
211|204,23|,18
211|204,217|,22
61|,369|,11
61|,363|,16
61|,83|,11
214|205,217|,17
278|363,363|,24
25|190,156|,10
25|190,191|,16
25|190,190|25,11
17|,205|,10
17|,339|,47
17|,202|,63
17|,16|,17
17|,204|,35
212|221,340|,10
212|221,220|,10
364|83,83|,16
212|207,220|,15
215|205,211|,12
201|219,218|,14
220|83,366|,12
220|83,23|,12
164|217,181|164,17
84|366,205|,10
84|366,363|,15
84|366,21|,11
84|366,234|,42
84|366,365|,10
216|220,211|,22
216|220,341|,10
200|,339|,42
200|,23|,10
200|,219|,406
200|,218|,287
200|,208|200,86
200|,209|,59
200|,16|,95
200|,199|200,54
200|,113|,12
200|,84|,16
200|,197|,19
200|,202|,45
200|,234|,12
200|,210|,12
200|,203|,15
200|,363|,27
200|,342|,26
200|,201|,40
200|,19|,30
200|,365|,14
200|,207|,188
200|,368|,10
200|,217|,30
200|,205|,16
200|,21|,43
200|,20|,79
200|,204|,14
358|210,84|358,14
153|340,340|,10
278|,22|,22
278|,84|278,129
278|,369|,42
278|,218|,16
278|,26|,18
278|,208|,10
278|,233|278,161
278|,206|,18
278|,202|,11
278|,210|,54
278|,266|,13
278|,225|,10
278|,212|,28
278|,364|,21
278|,365|,94
278|,340|,25
278|,358|,18
278|,204|,34
278|,342|278,53
278|,339|,28
278|,363|,276
278|,21|,57
278|,143|,15
278|,23|,19
278|,83|,55
278|,25|,10
278|,368|,17
278|,205|,99
278|,209|,24
278|,16|,10
278|,220|,21
278|,222|,12
278|,211|,18
278|,234|,78
278|,203|,35
278|,224|,15
278|,207|,12
278|,217|,35
278|,89|,11
278|,366|,45
278|,223|278,100
278|,20|,49
83|210,209|,10
83|210,84|83,15
83|210,210|,14
83|210,363|,15
83|210,234|83,25
83|210,21|,16
83|210,20|,19
253|,83|,16
233|84,84|,15
233|84,363|,11
221|207,341|,12
221|207,217|,12
209|202,342|,15
50|,83|,11
369|234,363|,15
234|342,84|,49
234|342,83|234,10
234|342,204|,10
234|342,205|,10
234|342,363|,21
234|342,21|,12
233|234,234|,11
23|84,217|,10
23|84,368|,11
23|,84|23,134
23|,299|,25
23|,22|,1297
23|,155|,12
23|,160|,20
23|,83|,151
23|,205|,337
23|,218|,78
23|,26|,12
23|,208|,231
23|,181|,33
23|,266|,11
23|,206|,12
23|,158|,55
23|,221|,196
23|,197|,24
23|,156|,32
23|,223|,32
23|,162|,14
23|,233|,20
23|,363|,636
23|,342|,1723
23|,212|,1011
23|,207|,159
23|,365|,437
23|,214|,310
23|,367|,145
23|,375|,21
23|,21|,792
23|,191|23,88
23|,216|,441
23|,225|,11
23|,204|,155
23|,369|,17
23|,234|23,96
23|,219|,39
23|,153|,22
23|,368|,1802
23|,25|23,84
23|,340|23,984
23|,339|,182
23|,29|,10
23|,209|,763
23|,16|,50
23|,180|,26
23|,211|,1685
23|,190|,48
23|,220|,1345
23|,182|,13
23|,210|,1070
23|,196|,155
23|,159|,15
23|,222|,338
23|,199|,26
23|,163|,30
23|,157|,29
23|,203|,199
23|,213|,222
23|,217|,2214
23|,201|,16
23|,341|,333
23|,19|,41
23|,215|,240
23|,45|,11
23|,364|,18
23|,192|,67
23|,152|,17
23|,143|,28
23|,200|,18
23|,366|,762
23|,164|,42
23|,278|,25
23|,202|,39
23|,20|,362
23|,178|,28
366|215,342|,14
366|215,365|,11
157|191,191|,17
158|211,341|158,10
84|220,363|,15
84|220,234|,13
205|221,203|,13
257|,83|,28
84|207,234|,13
209|19,342|,17
209|19,21|,15
209|,160|,21
209|,369|,41
209|,218|,307
