203|217,-50.876686,6.6974263,0
208|217,-60.177864,-4.540823,8
207|217,-85.073906,1.8728727,11
365|217,0.01229284,-57.197445,7
366|217,9.429208,-91.014755,7
212|217,-34.06733,-141.86327,10
196|217,-85.80401,-170.96675,0
204|217,-69.583725,-13.615733,0
218|217,-109.277725,-7.4781795,11
234|217,-103.09178,-57.98224,0
19|217,-88.70129,-4.040345,0
213|217,-96.31852,-168.25316,0
215|217,-76.795944,-174.2607,0
84|217,-106.97501,-53.58268,0
219|217,-127.48633,1.2310135,11
191|217,-133.98802,-156.36385,10
299|217,-129.8415,-108.35604,0
151,-197.27658,-62.925774,0
373,-243.25858,-118.66605,10
148,-206.01123,-64.158875,10
140,-204.84267,-70.40147,0
141,-203.68967,-57.98098,10
45,-246.90639,-112.12165,10
313,-214.59781,-64.01213,10
29,-238.23593,-84.9724,0
193,-223.51009,-141.2634,10
66,-139.73369,-95.64352,0
187,-223.3801,-99.82178,10
372,-158.00542,-101.745865,0
195,-200.52722,-65.64068,0
83|217,-103.4641,-78.321365,0
221|217,-59.04598,-133.32408,0
367|217,-34.793953,-188.64732,0
340|217,-61.093052,-148.73431,10
192|217,-124.89939,-152.27267,0
175,-196.80748,-78.45646,0
25|217,-105.75726,-133.99355,0
202|217,-94.801315,-9.610084,0
32,-214.1985,-69.94088,0
223|217,-92.76256,-64.0204,0
278|217,-93.539375,-59.446083,1
190|217,-155.34892,-147.3275,0
158|217,-140.36046,-127.90504,0
199|217,-138.195,-22.971119,11
197|217,-109.85168,-58.258823,11
16|217,-105.0775,-20.232609,0
156|217,-148.53433,-125.39093,0
180|217,-107.93419,-130.15588,0
153|217,-131.25761,-114.85172,0
164|217,-151.33794,-125.16751,0
181|217,-143.37213,-107.79491,0
178|217,-123.918655,-132.92773,0
163|217,-141.72604,-122.53818,0
371|217,-161.16454,-145.82286,0
200|217,-137.5712,-10.101421,11
160|217,-134.98862,-92.66029,0
157|217,-125.032166,-129.98587,0
143|217,-172.53253,-133.11824,0
201|217,-138.88228,-2.9401393,0
364|217,-102.80565,-50.43388,0
162|217,-110.7338,-81.056366,0
155|217,-144.50545,-122.81184,0
20,-28.40436,52.45648,8
209,-28.001497,3.610632,9
21,-26.79228,29.764442,4
22|23,54.664402,-100.89082,10
365|23,19.288649,-47.317604,7
220|23,32.230766,-130.1874,10
366|23,35.84416,-93.74779,7
210|23,58.290546,-69.97019,3
368|23,38.724033,-106.04766,5
21|23,33.75395,-47.499405,4
211|23,7.256369,-138.93918,10
209|23,26.317078,-98.91195,9
342|23,46.915634,-92.673004,10
217|23,8.286472,-128.182,10
341|23,-47.280956,-133.99847,0
221|23,-46.258705,-119.634026,10
340|23,-28.043446,-164.86978,10
363|23,29.436506,-26.4719,2
205|23,-8.380678,2.2885635,2
339|23,-53.0535,19.558916,10
208|23,-44.28623,-4.2853603,10
203|23,-12.246939,11.470494,10
20|23,21.128565,-37.16202,8
216|23,-19.39365,-139.9266,0
207|23,-75.55128,8.590197,10
212|23,-9.868529,-132.91663,10
196|23,-60.565735,-179.3204,10
204|23,-37.69269,-7.667019,10
218|23,-92.3464,-32.526527,10
202|23,-107.17352,-10.774922,10
222|23,-53.733738,-110.95695,10
213|23,-52.08081,-165.85245,10
214|23,-20.647673,-154.43187,10
215|23,-68.11072,-143.27231,10
84|23,-79.26207,-92.743614,10
25|23,-84.204056,-177.26227,10
206|23,-79.61108,43.64455,10
367|23,0.039893817,-166.72859,10
83|23,-89.717354,-94.70962,10
234|23,-85.70186,-62.286465,10
191|23,-65.16906,-183.0066,10
158|23,-86.49462,-98.50672,10
192|23,-137.79694,-153.2501,10
19|23,-88.73528,33.3689,10
219|23,-123.27639,36.169838,10
164|23,-53.089733,-89.25756,10
278|23,-122.223434,-39.127853,10
16|23,-114.13527,34.75495,10
371|23,-137.44614,-129.49806,10
190|23,-137.62779,-135.20354,10
156|23,-117.87154,-104.31517,10
363|206,-18.699362,176.5892,2
205|206,-16.54873,191.6831,2
339|206,-58.80836,212.82056,2
