Source,Target,Weight
217,299,27.2333
217,163,38.9677
217,155,19.4516
217,181,42.6129
217,158,55.9565
217,162,32.5862
217,233,19.0345
217,200,33.8333
217,142,12.5385
217,367,74.84
217,159,39.6071
217,375,31.0323
217,156,33.3548
217,180,36.68
217,157,30.9355
217,160,38.7419
217,213,112.548
217,201,33.3871
217,45,10.75
217,192,59.3226
217,178,40.0333
217,238,12.75
217,152,21.8
217,229,13.75
217,14,12.75
217,149,18.5357
217,241,16
217,370,10
217,198,13.4
217,371,12.6923
217,113,13.4286
217,281,10
217,151,13.9286
217,29,11.75
217,141,11
217,234|217,75.84
217,299|217,39
217,83|217,153.769
217,27,14.7727
217,199|217,77.6667
217,84|217,91
217,182,14.9565
217,187,11.75
217,183,12
217,288,10
217,32,11
217,148,10.3333
217,66,12.25
217,236,14
217,313,11
217,195,13
217,161,10.5
217,372,14.4545
217,209|217,1868.5
217,196|217,117.7
217,367|217,65.6667
217,19|217,60
217,164|217,78.6
217,158|217,82.75
217,191|217,92.4706
217,210|217,928
217,16|217,74.5
217,20|217,960
217,219|217,87
217,197|217,71.6
217,212|217,1057
217,180|217,56.6667
217,218|217,124
217,204|217,95
217,221|217,476
217,342|217,3091
217,340|217,1118.33
217,339|217,228
217,153|217,81.5
217,159|217,62
217,364|217,54
217,162|217,57
217,23|217,1502
217,216|217,647
217,363|217,604
217,22|217,1287.5
217,21|217,1425
217,278|217,68
217,220|217,945
217,178|217,62
217,211|217,2261
217,202|217,105
217,215|217,210
217,25|217,70
217,223|217,90
217,200|217,54
340|207,217,12
340|207,212,16
340|207,220,12.6667
340|207,23,12.8
340|207,211,13
340|207,211|340,13
212,340,1390.97
212,22,520.742
212,217,733.806
212,84,57.3103
212,83,84.5517
212,363,393.839
212,369,26.3333
212,365,363.839
212,164,35.5926
212,153,34.8571
212,20,188.433
212,205,252.323
212,339,117.24
212,202,47.9333
212,16,32.5667
212,204,171
212,366,724.71
212,220,1272.77
212,23,1460.13
212,218,58.3448
212,208,117.407
212,209,324.258
212,222,276.059
212,211,663.452
212,203,91.3929
212,206,15.7037
212,207,91.2581
212,21,322.548
212,342,735.29
212,210,420.581
212,278,34.3333
212,26,15.5789
212,191,55
212,197,18.9167
212,223,32.7857
212,89,10
212,364,20.8929
212,25,54.7667
212,368,515.516
212,190,52.8667
212,234,39.8462
212,224,15.8333
212,226,12.5
212,143,33.2258
212,266,17.4
212,225,11.2222
212,341,175.714
212,196,201.85
212,219,27.5517
212,199,21.2667
212,19,23.9355
212,214,93.8261
212,216,206.4
212,221,61.3
212,215,244
212,191|212,84.7692
212,299,11
212,163,27.6667
212,155,24.3226
212,181,31.6129
212,158,30.9655
212,162,21.2
212,233,16.1034
212,200,17.1333
212,142,13.2222
212,367,218.148
212,159,23.037
212,375,18.5
212,156,36.4194
212,180,23.0741
212,157,30.0323
212,160,22.1667
212,213,234.935
212,201,18.8636
212,45,13.1429
212,192,68.0714
212,178,34.2581
212,238,12
212,152,15.7143
212,229,11
212,14,10
212,149,19.8333
212,370,10
212,198,10
212,371,13.8
212,113,10
212,151,12.7778
212,29,10.4
212,27,15.8462
212,341|212,115.647
212,216|212,175.5
212,182,14.4211
212,187,11.5
212,190|212,76
212,84|212,108.5
212,221|212,66.5455
212,214|212,88.375
212,236,12
212,372,11
212,222|212,178.5
212,234|212,66.2
212,203|212,65.6667
212,367|212,116.75
212,215|212,150.375
212,196|212,169.818
212,218|212,108.5
212,339|212,151.833
212,20|212,123
212,164|212,65.75
212,223|212,66
212,180|212,48.5
212,153|212,66.3333
212,278|212,80
212,159|212,42
212,158|212,63.5
212,208|212,74.5
212,25|212,61
212,16|212,54
212,163|212,50
212,162|212,39
212,83|212,94.5
212,192|212,59.3333
212,23|212,1349
212,202|212,94
363|210|363,210|363,11
210|363,340,21.6667
210|363,22,143.667
210|363,217,56.6667
210|363,212,27.3333
210|363,363|210|363,90
210|363,363,201.5
210|363,365,84
210|363,20,95.3333
210|363,205,65.3333
210|363,339,39
210|363,204,26.6667
210|363,366,122.667
210|363,220,40
