10 => 0 21684
10 => 19 21722
10 11 => 12 6433
10 11 => 21 15064
11 => 12 26932
11 => 21 35599
11 => 10 20626
11 => 1 20389
1 => 11 35440
1 => 0 20673
1 => 2 26989
1 => 91 20906
0 1 => 2 6386
0 1 => 11 15006
21 => 20 20526
21 => 31 35201
21 => 22 27007
21 => 11 20552
20 21 => 31 14790
20 21 => 22 6400
20 => 21 21423
20 => 10 21503
20 => 30 21709
20 => 29 21342
31 => 41 34931
31 => 21 20397
31 => 32 26491
31 => 30 20271
30 31 => 41 14698
30 31 => 32 6260
41 => 51 36625
41 => 42 26787
41 => 31 20048
41 => 40 19850
11 21 31 41 => 51 1463
11 21 31 41 => 42 665
40 41 => 42 6405
40 41 => 51 15030
62 => 72 26514
62 => 52 26504
62 => 63 26434
62 => 61 26605
81 => 71 20906
81 => 91 35831
81 => 82 27401
81 => 80 20773
80 81 => 91 15037
80 81 => 82 6586
63 => 62 25681
63 => 73 25700
63 => 64 25805
63 => 53 25673
0 => 90 21719
0 => 9 21943
0 => 10 21682
0 => 1 21597
90 => 0 21860
90 => 91 21753
90 => 80 22061
90 => 99 21891
89 => 99 22778
89 => 79 22844
89 => 80 22790
89 => 88 22692
79 => 78 22949
79 => 70 22775
79 => 69 22910
79 => 89 22772
88 => 98 25900
88 => 89 23722
88 => 87 21817
88 => 78 22063
86 87 88 => 89 1752
86 87 88 => 98 4047
70 => 79 22094
70 => 80 22108
70 => 60 22057
70 => 71 21940
80 => 70 22063
80 => 81 21867
80 => 90 22124
80 => 89 21870
60 => 69 22282
60 => 61 21936
60 => 50 22059
60 => 70 22116
40 => 30 21187
40 => 41 21663
40 => 50 22467
40 => 49 21405
10 20 30 40 => 50 981
10 20 30 40 => 41 400
30 => 31 21158
30 => 39 21707
30 => 20 21249
30 => 40 21376
25 => 35 23796
25 => 26 23520
25 => 15 23873
25 => 24 23496
27 => 17 22178
27 => 26 22275
27 => 28 22440
27 => 37 22281
17 => 16 22580
17 => 18 22357
17 => 7 22289
17 => 27 22465
16 => 26 23174
16 => 17 23202
16 => 15 23054
16 => 6 23268
29 => 19 22402
29 => 28 22351
29 => 39 22299
29 => 20 22360
28 => 18 21609
28 => 38 25443
28 => 27 21554
28 => 29 23245
26 27 28 => 38 4033
26 27 28 => 29 1732
18 => 17 21817
18 => 19 23327
18 => 28 25598
18 => 8 21839
16 17 18 => 19 1700
16 17 18 => 28 3911
7 => 6 22445
7 => 8 22422
7 => 97 22598
7 => 17 22402
6 => 5 23338
6 => 16 23359
6 => 96 23383
6 => 7 23145
5 => 6 23964
5 => 15 23762
5 => 95 23501
5 => 4 23862
39 => 30 22204
39 => 49 22391
39 => 38 22414
39 => 29 22372
91 => 92 27108
91 => 1 35904
91 => 90 20908
91 => 81 20595
90 91 => 1 15032
90 91 => 92 6500
84 => 85 24811
84 => 94 24523
84 => 74 24583
84 => 83 24423
15 => 16 23848
15 => 25 23963
15 => 5 23832
15 => 14 23937
95 => 94 23877
95 => 85 23868
95 => 5 23683
95 => 96 23723
94 => 84 24403
94 => 93 24809
94 => 95 24456
94 => 4 24439
