77 => 76 22934
77 => 78 22685
77 => 67 22770
77 => 87 22895
76 => 66 23400
76 => 86 23438
76 => 75 23753
76 => 77 23609
66 => 65 23410
66 => 56 23614
66 => 67 23687
66 => 76 23645
65 => 55 24264
65 => 75 24330
65 => 64 24202
65 => 66 24217
55 => 54 24631
55 => 65 24318
55 => 45 24418
55 => 56 24358
54 => 64 25073
54 => 44 25055
54 => 55 25275
54 => 53 25012
64 => 74 24810
64 => 54 24765
64 => 63 25186
64 => 65 25058
74 => 73 24918
74 => 75 24755
74 => 64 24786
74 => 84 24651
73 => 72 25565
73 => 83 25712
73 => 74 25575
73 => 63 25539
72 => 71 26522
72 => 82 26295
72 => 62 26552
72 => 73 26455
71 => 61 21018
71 => 72 27422
71 => 81 36214
71 => 70 21218
70 71 => 72 6459
70 71 => 81 15275
61 => 51 21144
61 => 71 36607
61 => 60 20883
61 => 62 27280
60 61 => 71 15312
60 61 => 62 6407
51 => 52 27581
51 => 41 21230
51 => 50 21163
51 => 61 36452
50 51 => 61 15383
50 51 => 52 6523
52 => 53 26578
52 => 42 26818
52 => 62 26687
52 => 51 26607
53 => 52 25736
53 => 43 25735
53 => 54 25822
53 => 63 25819
42 => 43 25942
42 => 52 26917
42 => 32 25669
42 => 41 25565
12 22 32 42 => 52 1090
12 22 32 42 => 43 464
43 => 44 25338
43 => 33 24991
43 => 42 24782
43 => 53 25970
13 23 33 43 => 53 1087
13 23 33 43 => 44 482
44 => 45 24857
44 => 54 25295
44 => 43 24142
44 => 34 24062
14 24 34 44 => 45 466
14 24 34 44 => 54 1088
45 => 46 23846
45 => 44 23638
45 => 35 23474
45 => 55 24472
15 25 35 45 => 46 399
15 25 35 45 => 55 1037
46 => 36 22561
46 => 56 23640
46 => 45 22657
46 => 47 23299
16 26 36 46 => 56 1012
16 26 36 46 => 47 404
36 => 26 22917
36 => 37 22777
36 => 35 22764
36 => 46 22862
26 => 36 23095
26 => 25 22930
26 => 27 23022
26 => 16 22919
37 => 38 22010
37 => 36 22035
37 => 47 22194
37 => 27 22093
36 37 38 => 48 3918
36 37 38 => 39 1679
38 => 48 25296
38 => 37 21286
38 => 39 23259
38 => 28 21383
48 => 49 23438
48 => 47 21210
48 => 58 26455
48 => 38 21272
18 28 38 48 => 49 475
18 28 38 48 => 58 1109
46 47 48 => 58 4043
46 47 48 => 49 1713
49 => 59 23233
49 => 39 22063
49 => 40 23002
49 => 48 22347
19 29 39 49 => 59 937
19 29 39 49 => 40 384
59 => 69 23222
59 => 58 23353
59 => 50 23153
59 => 49 23326
69 => 68 22928
69 => 60 23269
69 => 79 22793
69 => 59 23404
68 => 67 22195
68 => 58 22302
68 => 78 26332
68 => 69 24022
66 67 68 => 69 1771
66 67 68 => 78 4100
67 => 77 22874
67 => 66 22785
67 => 57 22891
67 => 68 23271
78 => 77 22042
78 => 88 26144
78 => 68 22188
78 => 79 23662
76 77 78 => 88 4122
76 77 78 => 79 1726
56 => 57 23522
56 => 66 23929
56 => 46 23512
56 => 55 23731
57 => 56 23060
57 => 58 22760
57 => 47 22741
