196|216,-386.87283,66.6678,0
340,-217.26523,87.028206,0
216|196,-325.56012,63.41509,0
212,-145.92548,128.25972,0
222,-147.62209,10.861675,1
211,-197.47308,52.09223,3
23|196,-222.05171,119.47162,0
341,-166.45477,18.416578,1
215,-174.39755,47.121063,0
341|196,-304.04312,81.69609,0
222|196,-261.71686,130.64322,0
22,-71.78466,79.59389,3
217,-180.93365,75.09626,3
84,213.16426,-13.150451,5
83,54.005497,-324.6758,5
61,5.4205837,-90.20632,5
363,79.95649,16.848682,2
369,53.803703,-15.054963,5
365,11.411552,32.682865,2
164,-104.77597,160.96846,0
153,-71.31118,143.84088,0
20,0.5,2.5959318,4
205,15.466118,7.581604,2
339,60.160908,-16.938808,2
202,94.470474,-29.561892,2
16,115.57203,95.17616,2
204,-8.089709,31.750841,2
366,-32.31908,63.28356,3
220,-119.86871,90.22902,3
23,-136.44383,109.95936,3
218,23.556976,57.06306,4
208,-12.113915,70.03798,4
209,-12.01404,51.538475,3
203,-16.296272,31.933561,2
206,44.908356,24.960596,2
207,-3.4391875,27.590837,4
21,38.437637,-11.101416,4
342,-52.52543,85.691444,3
210,8.392995,52.737324,3
278,111.58448,36.843884,5
26,58.990295,31.702198,5
191,-188.0439,141.11519,0
197,16.740622,76.83242,4
223,47.360466,8.453879,5
89,34.14665,-53.519142,5
364,-21.396826,31.341309,5
358,37.00602,-20.58999,5
25,-131.59508,162.15984,0
368,-63.863552,99.7178,3
190,-123.45317,113.57707,0
234,166.42635,-40.717525,5
224,21.49938,11.671404,5
226,9.148151,-24.028845,5
143,-101.61718,82.36996,0
266,29.270931,-13.230206,5
287,62.264572,-98.86673,5
225,74.50543,48.264557,5
140,-88.819016,-28.047068,0
196,-121.99363,46.15487,0
219,89.53773,72.49671,4
199,91.334885,95.58823,4
19,-11.513645,15.064479,4
214,-139.82935,25.892027,1
216,-153.98312,12.42623,3
221,-118.55807,42.62194,1
299,-64.29019,-10.678728,1
163,-136.74931,34.613174,0
155,-80.694496,56.473785,0
181,-99.505295,157.7309,0
158,-76.288155,139.74841,1
162,-91.59719,146.89348,0
233,28.820679,-47.28468,5
200,59.164124,0.40980983,4
142,-73.451324,10.966005,0
367,-40.808487,110.02504,0
159,-80.0925,188.22198,0
375,-93.07385,73.90213,1
156,-95.619156,94.17476,0
180,-156.11282,124.776985,0
157,-101.36035,63.211746,0
160,-95.86504,166.2822,0
213,-84.71362,33.74826,0
201,23.754784,30.36829,2
45,-53.291965,-14.968914,0
192,-151.65556,102.25906,0
178,-135.2328,63.323196,0
190|340,-419.67087,347.30307,0
238,-3.7425191,-40.758484,5
152,-57.21948,70.67359,0
229,65.9548,-134.99687,5
14,8.634125,21.385061,4
149,-65.242584,65.287056,0
370,-14.654314,-9.628874,2
198,18.762735,1.3262714,4
