Lat,Lon,Name,Borough
-73.94318640482987,40.58689012678388,Sheepshead Bay,Brooklyn
-73.95743840559946,40.61443251335102,Manhattan Terrace,Brooklyn
-73.95840106533912,40.63632589026681,Flatbush,Brooklyn
-73.9432911907359,40.67082917695298,Crown Heights,Brooklyn
-73.93610256185843,40.64171776668965,East Flatbush,Brooklyn
-73.98042110559481,40.64238195800357,Kensington,Brooklyn
-73.98007340430179,40.65694583575108,Windsor Terrace,Brooklyn
-73.96485924262697,40.67682226225477,Prospect Heights,Brooklyn
-73.91023536176615,40.66394994339758,Brownsville,Brooklyn
-73.95811529220936,40.70714439344255,Williamsburg,Brooklyn
-73.92525797487053,40.69811611017905,Bushwick,Brooklyn
-73.94178488690304,40.6872316077205,Bedford Stuyvesant,Brooklyn
-73.99378225496432,40.69586372272413,Brooklyn Heights,Brooklyn
-73.9985613921847,40.68791972248561,Cobble Hill,Brooklyn
-74.00037274122076,40.68213188564184,Carroll Gardens,Brooklyn
-74.01275897473568,40.67625323025092,Red Hook,Brooklyn
-73.99444087145346,40.6739311431872,Gowanus,Brooklyn
-73.97290574369099,40.688527260189815,Fort Greene,Brooklyn
-73.97705030183931,40.672320522682014,Park Slope,Brooklyn
-73.87583132262635,40.6846357939163,Cypress Hills,Brooklyn
-73.88069863917373,40.66992570084708,East New York,Brooklyn
-73.87936970045882,40.64758905230878,Starrett City,Brooklyn
-73.90209269778973,40.63556432797432,Canarsie,Brooklyn
-73.92911302644681,40.6304460437575,Flatlands,Brooklyn
-73.90818571777432,40.60633642168567,Mill Island,Brooklyn
-73.94353722891894,40.57791350308661,Manhattan Beach,Brooklyn
-73.98868295821644,40.57429256471605,Coney Island,Brooklyn
-73.99875221443526,40.599518702822415,Bath Beach,Brooklyn
-73.99049823044818,40.63313051275805,Borough Park,Brooklyn
-74.01931375636029,40.61921945772268,Dyker Heights,Brooklyn
-73.93010170691203,40.59084843390208,Gerritsen Beach,Brooklyn
-73.93134404108504,40.60974777989464,Marine Park,Brooklyn
